Reference ID,Voting Date,Topic Number,Topic Title,Meaning of Yes,Meaning of No,Voting Subject,Proposal Title,Council Decision,Number of Yes,Number of No,Number of Abstentions,Number of excused,Number of non-participation,Percent_Yes
28878,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028",Zustimmung zu Art. 1 nach der Regel über die Ausgabenbremse | * | *,Ablehnung des Art. 1 | * | *,Art. 1 - Ausgabenbremse | * | *,Bundesbeschluss über die Finanzierung von Beiträgen an die Kantone für Ausbildungsbeiträge in den Jahren 2025–2028,1,130,65,1,3,1,0.6632653061224489
28879,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028",Annahme der Vorlage | * | *,Ablehnung der Vorlage | * | *,Gesamtabstimmung | * | *,Bundesbeschluss über die Finanzierung von Beiträgen an die Kantone für Ausbildungsbeiträge in den Jahren 2025–2028,1,130,63,1,3,2,0.6701030927835051
28880,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028",Antrag der Mehrheit  | * | *,Antrag der Minderheit I Fivaz Fabien (gemäss BR) | * | *,Art. 34d Abs. 2bis | * | *,Bundesgesetz über die Eidgenössischen Technischen Hochschulen (ETH-Gesetz),1,134,61,1,3,0,0.6836734693877551
28881,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028","Antrag der Mehrheit 
 | * | *",Antrag der Minderheit II Hug | * | *,Art. 34d Abs. 2bis | * | *,Bundesgesetz über die Eidgenössischen Technischen Hochschulen (ETH-Gesetz),1,126,70,0,3,0,0.6428571428571429
28882,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028",Annahme der Vorlage | * | *,Ablehnung der Vorlage | * | *,Gesamtabstimmung | * | *,Bundesgesetz über die Eidgenössischen Technischen Hochschulen (ETH-Gesetz),1,104,81,3,3,8,0.5531914893617021
28883,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028",Antrag der Minderheit I Prelicz-Huber | * | *,Antrag der Minderheit II der FK Fehlmann Rielle | * | *,Art. 1 | * | *,Bundesbeschluss über den Zahlungsrahmen für den ETH-Bereich in den Jahren 2025–2028,-1,62,128,0,3,6,0.3263157894736842
28884,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028",Antrag der Minderheit II der FK Fehlmann Rielle | * | *,Antrag der Minderheit II Brizzi | * | *,Art. 1 | * | *,Bundesbeschluss über den Zahlungsrahmen für den ETH-Bereich in den Jahren 2025–2028,-1,62,134,0,3,0,0.3163265306122449
28885,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028",Antrag der Mehrheit der WBK und der FK | * | *,Antrag der Minderheit II Brizzi | * | *,Art. 1 | * | *,Bundesbeschluss über den Zahlungsrahmen für den ETH-Bereich in den Jahren 2025–2028,1,135,61,0,3,0,0.6887755102040817
28886,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028",Antrag der Mehrheit der WBK und der FK | * | *,Antrag der Minderheit I der FK Schilliger (gemäss BR) | * | *,Art. 1 | * | *,Bundesbeschluss über den Zahlungsrahmen für den ETH-Bereich in den Jahren 2025–2028,1,119,72,5,3,0,0.6071428571428571
28887,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028",Antrag der Mehrheit der WBK und der FK | * | *,Antrag der Minderheit III der FK Guggisberg | * | *,Art. 1 | * | *,Bundesbeschluss über den Zahlungsrahmen für den ETH-Bereich in den Jahren 2025–2028,1,127,69,0,3,0,0.6479591836734694
28888,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028",Antrag der Mehrheit der WBK und der FK | * | *,Antrag der Minderheit III Heimgartner | * | *,Art. 1 | * | *,Bundesbeschluss über den Zahlungsrahmen für den ETH-Bereich in den Jahren 2025–2028,1,131,65,0,3,0,0.6683673469387755
28889,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028",Zustimmung zu Art. 1 nach der Regel über die Ausgabenbremse | * | *,Ablehnung des Art. 1 | * | *,Art. 1 - Ausgabenbremse | * | *,Bundesbeschluss über den Zahlungsrahmen für den ETH-Bereich in den Jahren 2025–2028,1,132,65,0,3,0,0.6700507614213198
28890,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028",Annahme der Vorlage | * | *,Ablehnung der Vorlage | * | *,Gesamtabstimmung | * | *,Bundesbeschluss über den Zahlungsrahmen für den ETH-Bereich in den Jahren 2025–2028,1,128,65,3,3,0,0.6530612244897959
28891,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028",Antrag der Mehrheit | * | *,Antrag der Minderheit Hug | * | *,Art. 30 Abs. 1 Bst. d (neu) | * | *,"Bundesgesetz über die Förderung der Hochschulen und die Koordination im schweizerischen Hochschulbereich (Hochschulförderungs- und -koordinationsgesetz, HFKG)",1,129,66,1,3,0,0.6581632653061225
28892,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028",Annahme der Vorlage | * | *,Ablehnung der Vorlage | * | *,Gesamtabstimmung | * | *,"Bundesgesetz über die Förderung der Hochschulen und die Koordination im schweizerischen Hochschulbereich (Hochschulförderungs- und -koordinationsgesetz, HFKG)",1,130,66,0,3,0,0.6632653061224489
28893,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028",Antrag der Mehrheit der WBK und der FK und Antrag der Minderheit II der FK Fehlmann Rielle | * | *,Antrag der Minderheit II Prelicz-Huber | * | *,Art. 1 | * | *,Bundesbeschluss über die Finanzierung nach dem Hochschulförderungs- und -koordinationsgesetz in den Jahren 2025–2028,1,134,60,0,3,2,0.6907216494845361
28894,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028",Antrag der Mehrheit der WBK und der FK und Antrag der Minderheit II der FK Fehlmann Rielle | * | *,Antrag der Minderheit II Brizzi | * | *,Art. 1 | * | *,Bundesbeschluss über die Finanzierung nach dem Hochschulförderungs- und -koordinationsgesetz in den Jahren 2025–2028,1,130,65,1,3,0,0.6632653061224489
28895,29.05.2024,20240031,"Förderung von Bildung, Forschung und Innovation in den Jahren 2025–2028",Antrag der Mehrheit der WBK und der FK und Antrag der Minderheit II der FK Fehlmann Rielle | * | *,Antrag der Minderheit I der FK Schilliger (gemäss BR) | * | *,Art. 1 | * | *,Bundesbeschluss über die Finanzierung nach dem Hochschulförderungs- und -koordinationsgesetz in den Jahren 2025–2028,1,122,74,0,3,0,0.6224489795918368
